city,scenario,month,year,market_share,ramp_factor,seasonal_mult,monthly_revenue_inr,monthly_revenue_lakh
Nashik,Base,30,3,0.12,1.0,0.95,13884595.552999998,138.84595552999997
Nashik,Base,31,3,0.12,1.0,0.9,13153827.365999999,131.53827366
Nashik,Base,32,3,0.12,1.0,0.92,13446134.6408,134.461346408
Nashik,Base,33,3,0.12,1.0,1.02,14907671.0148,149.076710148
Nashik,Base,34,3,0.12,1.0,1.38,20169201.961199995,201.69201961199994
Nashik,Base,35,3,0.12,1.0,1.25,18269204.674999997,182.69204674999997
Nashik,Base,36,3,0.12,1.0,1.1,16076900.114,160.76900114
Nashik,Optimistic,1,1,0.07,0.75,1.05,6713932.7180625005,67.139327180625
Nashik,Optimistic,2,1,0.07,0.75,0.95,6074510.5544375,60.745105544375
Nashik,Optimistic,3,1,0.07,0.75,1.0,6394221.63625,63.942216362500005
Nashik,Optimistic,4,1,0.07,0.75,1.1,7033643.799875001,70.33643799875001
Nashik,Optimistic,5,1,0.07,0.75,1.15,7353354.8816875,73.533548816875
Nashik,Optimistic,6,1,0.07,0.75,0.95,6074510.5544375,60.745105544375
Nashik,Optimistic,7,1,0.07,0.95,0.9,7289412.665325001,72.89412665325001
Nashik,Optimistic,8,1,0.07,0.95,0.92,7451399.613443335,74.51399613443334
Nashik,Optimistic,9,1,0.07,0.95,1.02,8261334.354035001,82.61334354035002
Nashik,Optimistic,10,1,0.07,0.95,1.38,11177099.420165,111.77099420165
Nashik,Optimistic,11,1,0.07,0.95,1.25,10124184.257395834,101.24184257395834
Nashik,Optimistic,12,1,0.07,0.95,1.1,8909282.146508334,89.09282146508335
Nashik,Optimistic,13,2,0.11,1.0,1.05,14067287.599750001,140.6728759975
Nashik,Optimistic,14,2,0.11,1.0,0.95,12727545.923583332,127.27545923583332
Nashik,Optimistic,15,2,0.11,1.0,1.0,13397416.761666667,133.97416761666668
Nashik,Optimistic,16,2,0.11,1.0,1.1,14737158.437833335,147.37158437833335
Nashik,Optimistic,17,2,0.11,1.0,1.15,15407029.275916666,154.07029275916665
Nashik,Optimistic,18,2,0.11,1.0,0.95,12727545.923583332,127.27545923583332
Nashik,Optimistic,19,2,0.11,1.0,0.9,12057675.0855,120.576750855
Nashik,Optimistic,20,2,0.11,1.0,0.92,12325623.420733334,123.25623420733335
Nashik,Optimistic,21,2,0.11,1.0,1.02,13665365.096900001,136.653650969
Nashik,Optimistic,22,2,0.11,1.0,1.38,18488435.1311,184.884351311
Nashik,Optimistic,23,2,0.11,1.0,1.25,16746770.952083334,167.46770952083335
Nashik,Optimistic,24,2,0.11,1.0,1.1,14737158.437833335,147.37158437833335
Nashik,Optimistic,25,3,0.15,1.0,1.05,19182664.908749998,191.8266490875
Nashik,Optimistic,26,3,0.15,1.0,0.95,17355744.441249996,173.55744441249996
Nashik,Optimistic,27,3,0.15,1.0,1.0,18269204.674999997,182.69204674999997
Nashik,Optimistic,28,3,0.15,1.0,1.1,20096125.1425,200.96125142499997
Nashik,Optimistic,29,3,0.15,1.0,1.15,21009585.376249995,210.09585376249996
Nashik,Optimistic,30,3,0.15,1.0,0.95,17355744.441249996,173.55744441249996
Nashik,Optimistic,31,3,0.15,1.0,0.9,16442284.207499998,164.42284207499998
Nashik,Optimistic,32,3,0.15,1.0,0.92,16807668.301,168.07668300999998
Nashik,Optimistic,33,3,0.15,1.0,1.02,18634588.768499997,186.34588768499995
Nashik,Optimistic,34,3,0.15,1.0,1.38,25211502.451499995,252.11502451499996
Nashik,Optimistic,35,3,0.15,1.0,1.25,22836505.843749996,228.36505843749995
Nashik,Optimistic,36,3,0.15,1.0,1.1,20096125.1425,200.96125142499997
Nagpur,Conservative,1,1,0.03,0.55,1.05,4535173.674281251,45.351736742812506
Nagpur,Conservative,2,1,0.03,0.55,0.95,4103252.37196875,41.0325237196875
Nagpur,Conservative,3,1,0.03,0.55,1.0,4319213.023125,43.192130231250005
Nagpur,Conservative,4,1,0.03,0.55,1.1,4751134.325437501,47.511343254375014
Nagpur,Conservative,5,1,0.03,0.55,1.15,4967094.97659375,49.67094976593749
Nagpur,Conservative,6,1,0.03,0.55,0.95,4103252.37196875,41.0325237196875
Nagpur,Conservative,7,1,0.03,0.8,0.9,5654242.5030000005,56.542425030000004
Nagpur,Conservative,8,1,0.03,0.8,0.92,5779892.3364,57.798923364000004
Nagpur,Conservative,9,1,0.03,0.8,1.02,6408141.5034,64.081415034
Nagpur,Conservative,10,1,0.03,0.8,1.38,8669838.5046,86.698385046
Nagpur,Conservative,11,1,0.03,0.8,1.25,7853114.5875,78.531145875
Nagpur,Conservative,12,1,0.03,0.8,1.1,6910740.837,69.10740837
Nagpur,Conservative,13,2,0.055,1.0,1.05,15117245.580937501,151.172455809375
Nagpur,Conservative,14,2,0.055,1.0,0.95,13677507.9065625,136.775079065625
Nagpur,Conservative,15,2,0.055,1.0,1.0,14397376.74375,143.97376743750002
Nagpur,Conservative,16,2,0.055,1.0,1.1,15837114.418125002,158.37114418125003
Nagpur,Conservative,17,2,0.055,1.0,1.15,16556983.255312499,165.569832553125
Nagpur,Conservative,18,2,0.055,1.0,0.95,13677507.9065625,136.775079065625
Nagpur,Conservative,19,2,0.055,1.0,0.9,12957639.069375,129.57639069375
Nagpur,Conservative,20,2,0.055,1.0,0.92,13245586.60425,132.45586604250002
Nagpur,Conservative,21,2,0.055,1.0,1.02,14685324.278625,146.85324278625
Nagpur,Conservative,22,2,0.055,1.0,1.38,19868379.906375,198.68379906374997
Nagpur,Conservative,23,2,0.055,1.0,1.25,17996720.9296875,179.967209296875
Nagpur,Conservative,24,2,0.055,1.0,1.1,15837114.418125002,158.37114418125003
Nagpur,Conservative,25,3,0.08,1.0,1.05,21988720.845000003,219.88720845000003
Nagpur,Conservative,26,3,0.08,1.0,0.95,19894556.955000002,198.94556955000002
Nagpur,Conservative,27,3,0.08,1.0,1.0,20941638.900000002,209.416389
Nagpur,Conservative,28,3,0.08,1.0,1.1,23035802.790000003,230.35802790000002
Nagpur,Conservative,29,3,0.08,1.0,1.15,24082884.735,240.82884735
Nagpur,Conservative,30,3,0.08,1.0,0.95,19894556.955000002,198.94556955000002
Nagpur,Conservative,31,3,0.08,1.0,0.9,18847475.01,188.47475010000002
Nagpur,Conservative,32,3,0.08,1.0,0.92,19266307.788000003,192.66307788000003
Nagpur,Conservative,33,3,0.08,1.0,1.02,21360471.678000003,213.60471678000002
Nagpur,Conservative,34,3,0.08,1.0,1.38,28899461.682,288.99461682
Nagpur,Conservative,35,3,0.08,1.0,1.25,26177048.625000004,261.77048625000003
Nagpur,Conservative,36,3,0.08,1.0,1.1,23035802.790000003,230.35802790000002
Nagpur,Base,1,1,0.05,0.65,1.05,8932917.84328125,89.3291784328125
Nagpur,Base,2,1,0.05,0.65,0.95,8082163.762968749,80.82163762968749
Nagpur,Base,3,1,0.05,0.65,1.0,8507540.803125,85.07540803124999
Nagpur,Base,4,1,0.05,0.65,1.1,9358294.883437501,93.58294883437502
Nagpur,Base,5,1,0.05,0.65,1.15,9783671.923593748,97.83671923593748
Nagpur,Base,6,1,0.05,0.65,0.95,8082163.762968749,80.82163762968749
Nagpur,Base,7,1,0.05,0.88,0.9,10366111.2555,103.661112555
Nagpur,Base,8,1,0.05,0.88,0.92,10596469.2834,105.96469283399999
Nagpur,Base,9,1,0.05,0.88,1.02,11748259.4229,117.482594229
Nagpur,Base,10,1,0.05,0.88,1.38,15894703.925099999,158.94703925099998
Nagpur,Base,11,1,0.05,0.88,1.25,14397376.743749999,143.9737674375
Nagpur,Base,12,1,0.05,0.88,1.1,12669691.534500001,126.69691534500001
Nagpur,Base,13,2,0.08,1.0,1.05,21988720.845000003,219.88720845000003
Nagpur,Base,14,2,0.08,1.0,0.95,19894556.955000002,198.94556955000002
Nagpur,Base,15,2,0.08,1.0,1.0,20941638.900000002,209.416389
Nagpur,Base,16,2,0.08,1.0,1.1,23035802.790000003,230.35802790000002
Nagpur,Base,17,2,0.08,1.0,1.15,24082884.735,240.82884735
Nagpur,Base,18,2,0.08,1.0,0.95,19894556.955000002,198.94556955000002
Nagpur,Base,19,2,0.08,1.0,0.9,18847475.01,188.47475010000002
Nagpur,Base,20,2,0.08,1.0,0.92,19266307.788000003,192.66307788000003
Nagpur,Base,21,2,0.08,1.0,1.02,21360471.678000003,213.60471678000002
Nagpur,Base,22,2,0.08,1.0,1.38,28899461.682,288.99461682
Nagpur,Base,23,2,0.08,1.0,1.25,26177048.625000004,261.77048625000003
Nagpur,Base,24,2,0.08,1.0,1.1,23035802.790000003,230.35802790000002
Nagpur,Base,25,3,0.12,1.0,1.05,32983081.2675,329.830812675
Nagpur,Base,26,3,0.12,1.0,0.95,29841835.432499997,298.418354325
Nagpur,Base,27,3,0.12,1.0,1.0,31412458.349999998,314.12458349999997
Nagpur,Base,28,3,0.12,1.0,1.1,34553704.185,345.53704185000004
Nagpur,Base,29,3,0.12,1.0,1.15,36124327.10249999,361.2432710249999
Nagpur,Base,30,3,0.12,1.0,0.95,29841835.432499997,298.418354325
Nagpur,Base,31,3,0.12,1.0,0.9,28271212.514999997,282.71212514999996
Nagpur,Base,32,3,0.12,1.0,0.92,28899461.682,288.99461682
Nagpur,Base,33,3,0.12,1.0,1.02,32040707.516999997,320.40707517
Nagpur,Base,34,3,0.12,1.0,1.38,43349192.522999994,433.49192522999994
Nagpur,Base,35,3,0.12,1.0,1.25,39265572.9375,392.655729375
Nagpur,Base,36,3,0.12,1.0,1.1,34553704.185,345.53704185000004
Nagpur,Optimistic,1,1,0.07,0.75,1.05,14430098.054531252,144.3009805453125
Nagpur,Optimistic,2,1,0.07,0.75,0.95,13055803.00171875,130.5580300171875
Nagpur,Optimistic,3,1,0.07,0.75,1.0,13742950.528125001,137.42950528125002
Nagpur,Optimistic,4,1,0.07,0.75,1.1,15117245.580937503,151.17245580937504
Nagpur,Optimistic,5,1,0.07,0.75,1.15,15804393.10734375,158.0439310734375
Nagpur,Optimistic,6,1,0.07,0.75,0.95,13055803.00171875,130.5580300171875
Nagpur,Optimistic,7,1,0.07,0.95,0.9,15666963.602062501,156.669636020625
Nagpur,Optimistic,8,1,0.07,0.95,0.92,16015118.348775001,160.15118348775002
Nagpur,Optimistic,9,1,0.07,0.95,1.02,17755892.082337502,177.55892082337502
Nagpur,Optimistic,10,1,0.07,0.95,1.38,24022677.5231625,240.226775231625
Nagpur,Optimistic,11,1,0.07,0.95,1.25,21759671.66953125,217.5967166953125
Nagpur,Optimistic,12,1,0.07,0.95,1.1,19148511.069187503,191.48511069187504
Nagpur,Optimistic,13,2,0.11,1.0,1.05,30234491.161875002,302.34491161875
Nagpur,Optimistic,14,2,0.11,1.0,0.95,27355015.813125,273.55015813125
Nagpur,Optimistic,15,2,0.11,1.0,1.0,28794753.4875,287.94753487500003
Nagpur,Optimistic,16,2,0.11,1.0,1.1,31674228.836250003,316.74228836250006
Nagpur,Optimistic,17,2,0.11,1.0,1.15,33113966.510624997,331.13966510625
Nagpur,Optimistic,18,2,0.11,1.0,0.95,27355015.813125,273.55015813125
Nagpur,Optimistic,19,2,0.11,1.0,0.9,25915278.13875,259.1527813875
Nagpur,Optimistic,20,2,0.11,1.0,0.92,26491173.2085,264.91173208500004
Nagpur,Optimistic,21,2,0.11,1.0,1.02,29370648.55725,293.7064855725
Nagpur,Optimistic,22,2,0.11,1.0,1.38,39736759.81275,397.36759812749995
Nagpur,Optimistic,23,2,0.11,1.0,1.25,35993441.859375,359.93441859375
Nagpur,Optimistic,24,2,0.11,1.0,1.1,31674228.836250003,316.74228836250006
Nagpur,Optimistic,25,3,0.15,1.0,1.05,41228851.584375,412.28851584375
Nagpur,Optimistic,26,3,0.15,1.0,0.95,37302294.290625,373.02294290624997
Nagpur,Optimistic,27,3,0.15,1.0,1.0,39265572.9375,392.655729375
Nagpur,Optimistic,28,3,0.15,1.0,1.1,43192130.23125,431.9213023125
Nagpur,Optimistic,29,3,0.15,1.0,1.15,45155408.878125,451.55408878124996
Nagpur,Optimistic,30,3,0.15,1.0,0.95,37302294.290625,373.02294290624997
Nagpur,Optimistic,31,3,0.15,1.0,0.9,35339015.643750004,353.3901564375
Nagpur,Optimistic,32,3,0.15,1.0,0.92,36124327.1025,361.243271025
Nagpur,Optimistic,33,3,0.15,1.0,1.02,40050884.39625,400.5088439625
Nagpur,Optimistic,34,3,0.15,1.0,1.38,54186490.653749995,541.8649065374999
Nagpur,Optimistic,35,3,0.15,1.0,1.25,49081966.171875,490.81966171875
Nagpur,Optimistic,36,3,0.15,1.0,1.1,43192130.23125,431.9213023125
Mysuru,Conservative,1,1,0.03,0.55,1.05,1397793.5808375003,13.977935808375003
Mysuru,Conservative,2,1,0.03,0.55,0.95,1264670.3826625003,12.646703826625002
Mysuru,Conservative,3,1,0.03,0.55,1.0,1331231.9817500003,13.312319817500002
Mysuru,Conservative,4,1,0.03,0.55,1.1,1464355.1799250005,14.643551799250005
Mysuru,Conservative,5,1,0.03,0.55,1.15,1530916.7790125,15.309167790125
Mysuru,Conservative,6,1,0.03,0.55,0.95,1264670.3826625003,12.646703826625002
Mysuru,Conservative,7,1,0.03,0.8,0.9,1742703.6852000004,17.427036852000004
Mysuru,Conservative,8,1,0.03,0.8,0.92,1781430.4337600004,17.814304337600003
Mysuru,Conservative,9,1,0.03,0.8,1.02,1975064.1765600003,19.7506417656
Mysuru,Conservative,10,1,0.03,0.8,1.38,2672145.65064,26.721456506400003
Mysuru,Conservative,11,1,0.03,0.8,1.25,2420421.785,24.204217850000003
Mysuru,Conservative,12,1,0.03,0.8,1.1,2129971.1708000004,21.299711708000004
Mysuru,Conservative,13,2,0.055,1.0,1.05,4659311.936125001,46.59311936125001
Mysuru,Conservative,14,2,0.055,1.0,0.95,4215567.942208333,42.15567942208333
Mysuru,Conservative,15,2,0.055,1.0,1.0,4437439.939166667,44.37439939166667
Mysuru,Conservative,16,2,0.055,1.0,1.1,4881183.933083334,48.81183933083334
Mysuru,Conservative,17,2,0.055,1.0,1.15,5103055.930041666,51.03055930041666
Mysuru,Conservative,18,2,0.055,1.0,0.95,4215567.942208333,42.15567942208333
Mysuru,Conservative,19,2,0.055,1.0,0.9,3993695.9452500003,39.936959452500005
Mysuru,Conservative,20,2,0.055,1.0,0.92,4082444.744033334,40.82444744033334
Mysuru,Conservative,21,2,0.055,1.0,1.02,4526188.73795,45.2618873795
Mysuru,Conservative,22,2,0.055,1.0,1.38,6123667.11605,61.2366711605
Mysuru,Conservative,23,2,0.055,1.0,1.25,5546799.923958333,55.467999239583335
Mysuru,Conservative,24,2,0.055,1.0,1.1,4881183.933083334,48.81183933083334
Mysuru,Conservative,25,3,0.08,1.0,1.05,6777180.998000001,67.77180998
Mysuru,Conservative,26,3,0.08,1.0,0.95,6131735.188666667,61.31735188666667
Mysuru,Conservative,27,3,0.08,1.0,1.0,6454458.093333334,64.54458093333334
Mysuru,Conservative,28,3,0.08,1.0,1.1,7099903.9026666675,70.99903902666668
Mysuru,Conservative,29,3,0.08,1.0,1.15,7422626.807333333,74.22626807333333
Mysuru,Conservative,30,3,0.08,1.0,0.95,6131735.188666667,61.31735188666667
Mysuru,Conservative,31,3,0.08,1.0,0.9,5809012.284000001,58.09012284000001
Mysuru,Conservative,32,3,0.08,1.0,0.92,5938101.445866668,59.38101445866668
Mysuru,Conservative,33,3,0.08,1.0,1.02,6583547.2552000005,65.835472552
Mysuru,Conservative,34,3,0.08,1.0,1.38,8907152.1688,89.071521688
Mysuru,Conservative,35,3,0.08,1.0,1.25,8068072.616666667,80.68072616666667
Mysuru,Conservative,36,3,0.08,1.0,1.1,7099903.9026666675,70.99903902666668
Mysuru,Base,1,1,0.05,0.65,1.05,2753229.7804375,27.532297804375002
Mysuru,Base,2,1,0.05,0.65,0.95,2491017.4203958334,24.910174203958334
Mysuru,Base,3,1,0.05,0.65,1.0,2622123.600416667,26.22123600416667
Mysuru,Base,4,1,0.05,0.65,1.1,2884335.9604583336,28.843359604583338
Mysuru,Base,5,1,0.05,0.65,1.15,3015442.1404791665,30.154421404791666
Mysuru,Base,6,1,0.05,0.65,0.95,2491017.4203958334,24.910174203958334
Mysuru,Base,7,1,0.05,0.88,0.9,3194956.7562000006,31.949567562000006
Mysuru,Base,8,1,0.05,0.88,0.92,3265955.795226667,32.659557952266674
Mysuru,Base,9,1,0.05,0.88,1.02,3620950.9903600006,36.20950990360001
Mysuru,Base,10,1,0.05,0.88,1.38,4898933.692840001,48.98933692840001
Mysuru,Base,11,1,0.05,0.88,1.25,4437439.939166667,44.37439939166667
Mysuru,Base,12,1,0.05,0.88,1.1,3904947.1464666673,39.049471464666674
Mysuru,Base,13,2,0.08,1.0,1.05,6777180.998000001,67.77180998
Mysuru,Base,14,2,0.08,1.0,0.95,6131735.188666667,61.31735188666667
Mysuru,Base,15,2,0.08,1.0,1.0,6454458.093333334,64.54458093333334
Mysuru,Base,16,2,0.08,1.0,1.1,7099903.9026666675,70.99903902666668
Mysuru,Base,17,2,0.08,1.0,1.15,7422626.807333333,74.22626807333333
Mysuru,Base,18,2,0.08,1.0,0.95,6131735.188666667,61.31735188666667
Mysuru,Base,19,2,0.08,1.0,0.9,5809012.284000001,58.09012284000001
Mysuru,Base,20,2,0.08,1.0,0.92,5938101.445866668,59.38101445866668
Mysuru,Base,21,2,0.08,1.0,1.02,6583547.2552000005,65.835472552
Mysuru,Base,22,2,0.08,1.0,1.38,8907152.1688,89.071521688
Mysuru,Base,23,2,0.08,1.0,1.25,8068072.616666667,80.68072616666667
Mysuru,Base,24,2,0.08,1.0,1.1,7099903.9026666675,70.99903902666668
Mysuru,Base,25,3,0.12,1.0,1.05,10165771.497000001,101.65771497000001
Mysuru,Base,26,3,0.12,1.0,0.95,9197602.783,91.97602782999999
Mysuru,Base,27,3,0.12,1.0,1.0,9681687.14,96.81687140000001
Mysuru,Base,28,3,0.12,1.0,1.1,10649855.854000002,106.49855854000002
Mysuru,Base,29,3,0.12,1.0,1.15,11133940.211,111.33940211
Mysuru,Base,30,3,0.12,1.0,0.95,9197602.783,91.97602782999999
Mysuru,Base,31,3,0.12,1.0,0.9,8713518.426,87.13518426
Mysuru,Base,32,3,0.12,1.0,0.92,8907152.1688,89.071521688
Mysuru,Base,33,3,0.12,1.0,1.02,9875320.882800002,98.75320882800001
Mysuru,Base,34,3,0.12,1.0,1.38,13360728.2532,133.607282532
Mysuru,Base,35,3,0.12,1.0,1.25,12102108.925,121.02108925
Mysuru,Base,36,3,0.12,1.0,1.1,10649855.854000002,106.49855854000002
Mysuru,Optimistic,1,1,0.07,0.75,1.05,4447525.029937501,44.47525029937501
Mysuru,Optimistic,2,1,0.07,0.75,0.95,4023951.217562501,40.23951217562501
Mysuru,Optimistic,3,1,0.07,0.75,1.0,4235738.123750001,42.357381237500014
Mysuru,Optimistic,4,1,0.07,0.75,1.1,4659311.936125002,46.59311936125002
Mysuru,Optimistic,5,1,0.07,0.75,1.15,4871098.842312501,48.71098842312501
Mysuru,Optimistic,6,1,0.07,0.75,0.95,4023951.217562501,40.23951217562501
Mysuru,Optimistic,7,1,0.07,0.95,0.9,4828741.461075,48.287414610750005
Mysuru,Optimistic,8,1,0.07,0.95,0.92,4936046.826876667,49.360468268766674
Mysuru,Optimistic,9,1,0.07,0.95,1.02,5472573.655885001,54.72573655885001
Mysuru,Optimistic,10,1,0.07,0.95,1.38,7404070.2403150005,74.04070240315001
Mysuru,Optimistic,11,1,0.07,0.95,1.25,6706585.362604167,67.06585362604167
Mysuru,Optimistic,12,1,0.07,0.95,1.1,5901795.119091668,59.01795119091668
Mysuru,Optimistic,13,2,0.11,1.0,1.05,9318623.872250002,93.18623872250002
Mysuru,Optimistic,14,2,0.11,1.0,0.95,8431135.884416666,84.31135884416666
Mysuru,Optimistic,15,2,0.11,1.0,1.0,8874879.878333334,88.74879878333334
Mysuru,Optimistic,16,2,0.11,1.0,1.1,9762367.866166668,97.62367866166667
Mysuru,Optimistic,17,2,0.11,1.0,1.15,10206111.860083332,102.06111860083332
Mysuru,Optimistic,18,2,0.11,1.0,0.95,8431135.884416666,84.31135884416666
Mysuru,Optimistic,19,2,0.11,1.0,0.9,7987391.890500001,79.87391890500001
Mysuru,Optimistic,20,2,0.11,1.0,0.92,8164889.488066668,81.64889488066667
Mysuru,Optimistic,21,2,0.11,1.0,1.02,9052377.4759,90.523774759
Mysuru,Optimistic,22,2,0.11,1.0,1.38,12247334.2321,122.473342321
Mysuru,Optimistic,23,2,0.11,1.0,1.25,11093599.847916666,110.93599847916667
Mysuru,Optimistic,24,2,0.11,1.0,1.1,9762367.866166668,97.62367866166667
Mysuru,Optimistic,25,3,0.15,1.0,1.05,12707214.371250002,127.07214371250002
Mysuru,Optimistic,26,3,0.15,1.0,0.95,11497003.47875,114.9700347875
Mysuru,Optimistic,27,3,0.15,1.0,1.0,12102108.925,121.02108925
Mysuru,Optimistic,28,3,0.15,1.0,1.1,13312319.817500003,133.12319817500003
Mysuru,Optimistic,29,3,0.15,1.0,1.15,13917425.26375,139.1742526375
Mysuru,Optimistic,30,3,0.15,1.0,0.95,11497003.47875,114.9700347875
Mysuru,Optimistic,31,3,0.15,1.0,0.9,10891898.0325,108.918980325
Mysuru,Optimistic,32,3,0.15,1.0,0.92,11133940.211000001,111.33940211000001
Mysuru,Optimistic,33,3,0.15,1.0,1.02,12344151.103500001,123.441511035
Mysuru,Optimistic,34,3,0.15,1.0,1.38,16700910.3165,167.009103165
Mysuru,Optimistic,35,3,0.15,1.0,1.25,15127636.15625,151.2763615625
Mysuru,Optimistic,36,3,0.15,1.0,1.1,13312319.817500003,133.12319817500003
