city,month,freight_cost,warehouse_cost,salesforce_cost,btl_cost,fixed_cost,total_monthly_cost
Nagpur,12,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,13,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,14,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,15,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,16,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,17,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,18,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,19,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,20,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,21,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,22,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,23,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,24,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,25,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,26,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,27,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,28,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,29,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,30,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,31,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,32,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,33,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,34,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,35,90150,44000,280000,1500000.0,150000,2064150.0
Nagpur,36,90150,44000,280000,1500000.0,150000,2064150.0
Mysuru,1,134100,64000,140000,3000000.0,150000,3488100.0
Mysuru,2,134100,64000,140000,3000000.0,150000,3488100.0
Mysuru,3,134100,64000,140000,3000000.0,150000,3488100.0
Mysuru,4,134100,64000,210000,2250000.0,150000,2808100.0
Mysuru,5,134100,64000,210000,2250000.0,150000,2808100.0
Mysuru,6,134100,64000,210000,2250000.0,150000,2808100.0
Mysuru,7,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,8,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,9,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,10,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,11,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,12,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,13,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,14,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,15,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,16,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,17,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,18,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,19,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,20,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,21,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,22,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,23,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,24,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,25,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,26,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,27,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,28,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,29,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,30,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,31,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,32,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,33,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,34,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,35,134100,64000,280000,1500000.0,150000,2128100.0
Mysuru,36,134100,64000,280000,1500000.0,150000,2128100.0
