month,monthly_revenue_inr,total_monthly_cost,cumulative_revenue,cumulative_cost,cumulative_profit,city,scenario
35,12179469.783333333,2037300.0,230914221.46315166,77425500.0,73488721.46315166,Nashik,Conservative
36,10717933.409333333,2037300.0,241632154.87248498,79462800.0,82169354.87248498,Nashik,Conservative
1,4156244.0635625003,3397300.0,4156244.0635625003,3397300.0,-79241055.9364375,Nashik,Base
2,3760411.2956041666,3397300.0,7916655.359166667,6794600.0,-78877944.64083333,Nashik,Base
3,3958327.6795833334,3397300.0,11874983.03875,10191900.0,-78316916.96125,Nashik,Base
4,4354160.447541667,2717300.0,16229143.486291667,12909200.0,-76680056.51370834,Nashik,Base
5,4552076.831520833,2717300.0,20781220.317812502,15626500.0,-74845279.6821875,Nashik,Base
6,3760411.2956041666,2717300.0,24541631.613416668,18343800.0,-73802168.38658333,Nashik,Base
7,4823070.034200001,2037300.0,29364701.64761667,20381100.0,-71016398.35238333,Nashik,Base
8,4930249.368293334,2037300.0,34294951.01591,22418400.0,-68123448.98409,Nashik,Base
9,5466146.03876,2037300.0,39761097.05467,24455700.0,-64694602.94533,Nashik,Base
10,7395374.05244,2037300.0,47156471.10711,26493000.0,-59336528.89289,Nashik,Base
11,6698708.380833333,2037300.0,53855179.48794334,28530300.0,-54675120.51205666,Nashik,Base
12,5894863.375133334,2037300.0,59750042.86307667,30567600.0,-50817557.13692333,Nashik,Base
13,10230754.618,2037300.0,69980797.48107667,32604900.0,-42624102.51892333,Nashik,Base
14,9256397.035333332,2037300.0,79237194.51641001,34642200.0,-35405005.48358999,Nashik,Base
15,9743575.826666666,2037300.0,88980770.34307668,36679500.0,-27698729.656923324,Nashik,Base
16,10717933.409333333,2037300.0,99698703.75241001,38716800.0,-19018096.24758999,Nashik,Base
17,11205112.200666666,2037300.0,110903815.95307668,40754100.0,-9850284.046923324,Nashik,Base
18,9256397.035333332,2037300.0,120160212.98841001,42791400.0,-2631187.011589989,Nashik,Base
19,8769218.243999999,2037300.0,128929431.23241001,44828700.0,4100731.2324100137,Nashik,Base
20,8964089.760533333,2037300.0,137893520.99294335,46866000.0,11027520.992943347,Nashik,Base
21,9938447.3432,2037300.0,147831968.33614334,48903300.0,18928668.336143345,Nashik,Base
22,13446134.6408,2037300.0,161278102.97694334,50940600.0,30337502.976943344,Nashik,Base
23,12179469.783333333,2037300.0,173457572.76027668,52977900.0,40479672.760276675,Nashik,Base
24,10717933.409333333,2037300.0,184175506.16961002,55015200.0,49160306.16961002,Nashik,Base
25,15346131.927,2037300.0,199521638.09661,57052500.0,62469138.09661001,Nashik,Base
26,13884595.552999998,2037300.0,213406233.64961,59089800.0,74316433.64961001,Nashik,Base
27,14615363.739999998,2037300.0,228021597.38961002,61127100.0,86894497.38961002,Nashik,Base
28,16076900.114,2037300.0,244098497.50361001,63164400.0,100934097.50361001,Nashik,Base
29,16807668.300999995,2037300.0,260906165.80461,65201700.0,115704465.80461001,Nashik,Base
30,13884595.552999998,2037300.0,274790761.35761,67239000.0,127551761.35760999,Nashik,Base
31,13153827.365999999,2037300.0,287944588.72361,69276300.0,138668288.72360998,Nashik,Base
32,13446134.6408,2037300.0,301390723.36441,71313600.0,150077123.36440998,Nashik,Base
33,14907671.0148,2037300.0,316298394.37921,73350900.0,162947494.37921,Nashik,Base
34,20169201.961199995,2037300.0,336467596.34041,75388200.0,181079396.34041,Nashik,Base
35,18269204.674999997,2037300.0,354736801.01541,77425500.0,197311301.01541,Nashik,Base
36,16076900.114,2037300.0,370813701.12941,79462800.0,211350901.12941003,Nashik,Base
1,6713932.7180625005,3397300.0,6713932.7180625005,3397300.0,-76683367.2819375,Nashik,Optimistic
2,6074510.5544375,3397300.0,12788443.2725,6794600.0,-74006156.72749999,Nashik,Optimistic
3,6394221.63625,3397300.0,19182664.90875,10191900.0,-71009235.09125,Nashik,Optimistic
4,7033643.799875001,2717300.0,26216308.708625004,12909200.0,-66692891.291375,Nashik,Optimistic
5,7353354.8816875,2717300.0,33569663.5903125,15626500.0,-62056836.4096875,Nashik,Optimistic
6,6074510.5544375,2717300.0,39644174.14475001,18343800.0,-58699625.85524999,Nashik,Optimistic
7,7289412.665325001,2037300.0,46933586.81007501,20381100.0,-53447513.18992499,Nashik,Optimistic
8,7451399.613443335,2037300.0,54384986.423518345,22418400.0,-48033413.576481655,Nashik,Optimistic
9,8261334.354035001,2037300.0,62646320.77755335,24455700.0,-41809379.22244665,Nashik,Optimistic
10,11177099.420165,2037300.0,73823420.19771835,26493000.0,-32669579.802281648,Nashik,Optimistic
11,10124184.257395834,2037300.0,83947604.45511419,28530300.0,-24582695.544885814,Nashik,Optimistic
12,8909282.146508334,2037300.0,92856886.60162252,30567600.0,-17710713.398377478,Nashik,Optimistic
13,14067287.599750001,2037300.0,106924174.20137252,32604900.0,-5680725.798627481,Nashik,Optimistic
14,12727545.923583332,2037300.0,119651720.12495585,34642200.0,5009520.124955848,Nashik,Optimistic
15,13397416.761666667,2037300.0,133049136.88662252,36679500.0,16369636.886622518,Nashik,Optimistic
16,14737158.437833335,2037300.0,147786295.32445586,38716800.0,29069495.324455857,Nashik,Optimistic
17,15407029.275916666,2037300.0,163193324.60037252,40754100.0,42439224.60037252,Nashik,Optimistic
18,12727545.923583332,2037300.0,175920870.52395585,42791400.0,53129470.52395585,Nashik,Optimistic
19,12057675.0855,2037300.0,187978545.60945585,44828700.0,63149845.60945585,Nashik,Optimistic
20,12325623.420733334,2037300.0,200304169.0301892,46866000.0,73438169.03018919,Nashik,Optimistic
21,13665365.096900001,2037300.0,213969534.1270892,48903300.0,85066234.1270892,Nashik,Optimistic
22,18488435.1311,2037300.0,232457969.2581892,50940600.0,101517369.2581892,Nashik,Optimistic
23,16746770.952083334,2037300.0,249204740.21027255,52977900.0,116226840.21027255,Nashik,Optimistic
24,14737158.437833335,2037300.0,263941898.6481059,55015200.0,128926698.64810589,Nashik,Optimistic
25,19182664.908749998,2037300.0,283124563.5568559,57052500.0,146072063.55685592,Nashik,Optimistic
26,17355744.441249996,2037300.0,300480307.9981059,59089800.0,161390507.99810588,Nashik,Optimistic
27,18269204.674999997,2037300.0,318749512.6731059,61127100.0,177622412.6731059,Nashik,Optimistic
28,20096125.1425,2037300.0,338845637.8156059,63164400.0,195681237.81560588,Nashik,Optimistic
29,21009585.376249995,2037300.0,359855223.19185585,65201700.0,214653523.19185585,Nashik,Optimistic
30,17355744.441249996,2037300.0,377210967.6331059,67239000.0,229971967.63310587,Nashik,Optimistic
31,16442284.207499998,2037300.0,393653251.84060585,69276300.0,244376951.84060585,Nashik,Optimistic
32,16807668.301,2037300.0,410460920.14160585,71313600.0,259147320.14160585,Nashik,Optimistic
33,18634588.768499997,2037300.0,429095508.9101058,73350900.0,275744608.9101058,Nashik,Optimistic
34,25211502.451499995,2037300.0,454307011.3616058,75388200.0,298918811.3616058,Nashik,Optimistic
35,22836505.843749996,2037300.0,477143517.2053558,77425500.0,319718017.2053558,Nashik,Optimistic
36,20096125.1425,2037300.0,497239642.3478558,79462800.0,337776842.3478558,Nashik,Optimistic
1,4535173.674281251,3424150.0,4535173.674281251,3424150.0,-118888976.32571875,Nagpur,Conservative
2,4103252.37196875,3424150.0,8638426.04625,6848300.0,-118209873.95375,Nagpur,Conservative
3,4319213.023125,3424150.0,12957639.069375,10272450.0,-117314810.93062499,Nagpur,Conservative
4,4751134.325437501,2744150.0,17708773.394812502,13016600.0,-115307826.6051875,Nagpur,Conservative
5,4967094.97659375,2744150.0,22675868.37140625,15760750.0,-113084881.62859374,Nagpur,Conservative
6,4103252.37196875,2744150.0,26779120.743375,18504900.0,-111725779.256625,Nagpur,Conservative
7,5654242.5030000005,2064150.0,32433363.246375002,20569050.0,-108135686.753625,Nagpur,Conservative
8,5779892.3364,2064150.0,38213255.582775004,22633200.0,-104419944.417225,Nagpur,Conservative
9,6408141.5034,2064150.0,44621397.086175,24697350.0,-100075952.913825,Nagpur,Conservative
10,8669838.5046,2064150.0,53291235.590775,26761500.0,-93470264.409225,Nagpur,Conservative
11,7853114.5875,2064150.0,61144350.178275,28825650.0,-87681299.82172501,Nagpur,Conservative
12,6910740.837,2064150.0,68055091.015275,30889800.0,-82834708.984725,Nagpur,Conservative
13,15117245.580937501,2064150.0,83172336.5962125,32953950.0,-69781613.4037875,Nagpur,Conservative
14,13677507.9065625,2064150.0,96849844.50277501,35018100.0,-58168255.49722499,Nagpur,Conservative
15,14397376.74375,2064150.0,111247221.24652502,37082250.0,-45835028.75347498,Nagpur,Conservative
16,15837114.418125002,2064150.0,127084335.66465002,39146400.0,-32062064.335349977,Nagpur,Conservative
17,16556983.255312499,2064150.0,143641318.91996253,41210550.0,-17569231.080037475,Nagpur,Conservative
18,13677507.9065625,2064150.0,157318826.82652503,43274700.0,-5955873.1734749675,Nagpur,Conservative
19,12957639.069375,2064150.0,170276465.89590004,45338850.0,4937615.895900041,Nagpur,Conservative
20,13245586.60425,2064150.0,183522052.50015005,47403000.0,16119052.500150055,Nagpur,Conservative
21,14685324.278625,2064150.0,198207376.77877507,49467150.0,28740226.778775066,Nagpur,Conservative
22,19868379.906375,2064150.0,218075756.68515006,51531300.0,46544456.68515006,Nagpur,Conservative
23,17996720.9296875,2064150.0,236072477.61483756,53595450.0,62477027.61483756,Nagpur,Conservative
24,15837114.418125002,2064150.0,251909592.03296256,55659600.0,76249992.03296256,Nagpur,Conservative
25,21988720.845000003,2064150.0,273898312.8779626,57723750.0,96174562.87796259,Nagpur,Conservative
26,19894556.955000002,2064150.0,293792869.8329626,59787900.0,114004969.83296257,Nagpur,Conservative
27,20941638.900000002,2064150.0,314734508.73296255,61852050.0,132882458.73296255,Nagpur,Conservative
28,23035802.790000003,2064150.0,337770311.52296257,63916200.0,153854111.52296257,Nagpur,Conservative
29,24082884.735,2064150.0,361853196.2579626,65980350.0,175872846.25796258,Nagpur,Conservative
30,19894556.955000002,2064150.0,381747753.21296257,68044500.0,193703253.21296257,Nagpur,Conservative
31,18847475.01,2064150.0,400595228.22296256,70108650.0,210486578.22296256,Nagpur,Conservative
32,19266307.788000003,2064150.0,419861536.01096255,72172800.0,227688736.01096255,Nagpur,Conservative
33,21360471.678000003,2064150.0,441222007.6889626,74236950.0,246985057.68896258,Nagpur,Conservative
34,28899461.682,2064150.0,470121469.37096256,76301100.0,273820369.37096256,Nagpur,Conservative
35,26177048.625000004,2064150.0,496298517.99596256,78365250.0,297933267.99596256,Nagpur,Conservative
36,23035802.790000003,2064150.0,519334320.7859626,80429400.0,318904920.7859626,Nagpur,Conservative
1,8932917.84328125,3424150.0,8932917.84328125,3424150.0,-114491232.15671875,Nagpur,Base
2,8082163.762968749,3424150.0,17015081.60625,6848300.0,-109833218.39375,Nagpur,Base
3,8507540.803125,3424150.0,25522622.409374997,10272450.0,-104749827.590625,Nagpur,Base
4,9358294.883437501,2744150.0,34880917.2928125,13016600.0,-98135682.7071875,Nagpur,Base
5,9783671.923593748,2744150.0,44664589.21640624,15760750.0,-91096160.78359376,Nagpur,Base
6,8082163.762968749,2744150.0,52746752.97937499,18504900.0,-85758147.02062501,Nagpur,Base
7,10366111.2555,2064150.0,63112864.23487499,20569050.0,-77456185.765125,Nagpur,Base
8,10596469.2834,2064150.0,73709333.518275,22633200.0,-68923866.481725,Nagpur,Base
9,11748259.4229,2064150.0,85457592.941175,24697350.0,-59239757.058825,Nagpur,Base
10,15894703.925099999,2064150.0,101352296.866275,26761500.0,-45409203.133725,Nagpur,Base
11,14397376.743749999,2064150.0,115749673.61002499,28825650.0,-33075976.38997501,Nagpur,Base
12,12669691.534500001,2064150.0,128419365.14452499,30889800.0,-22470434.85547501,Nagpur,Base
13,21988720.845000003,2064150.0,150408085.989525,32953950.0,-2545864.0104750097,Nagpur,Base
14,19894556.955000002,2064150.0,170302642.944525,35018100.0,15284542.944525003,Nagpur,Base
15,20941638.900000002,2064150.0,191244281.844525,37082250.0,34162031.84452501,Nagpur,Base
16,23035802.790000003,2064150.0,214280084.634525,39146400.0,55133684.634525,Nagpur,Base
17,24082884.735,2064150.0,238362969.36952502,41210550.0,77152419.36952502,Nagpur,Base
18,19894556.955000002,2064150.0,258257526.32452503,43274700.0,94982826.32452503,Nagpur,Base
19,18847475.01,2064150.0,277105001.33452505,45338850.0,111766151.33452505,Nagpur,Base
20,19266307.788000003,2064150.0,296371309.12252504,47403000.0,128968309.12252504,Nagpur,Base
21,21360471.678000003,2064150.0,317731780.80052507,49467150.0,148264630.80052507,Nagpur,Base
22,28899461.682,2064150.0,346631242.48252505,51531300.0,175099942.48252505,Nagpur,Base
23,26177048.625000004,2064150.0,372808291.10752505,53595450.0,199212841.10752505,Nagpur,Base
24,23035802.790000003,2064150.0,395844093.8975251,55659600.0,220184493.89752507,Nagpur,Base
25,32983081.2675,2064150.0,428827175.16502506,57723750.0,251103425.16502506,Nagpur,Base
26,29841835.432499997,2064150.0,458669010.59752506,59787900.0,278881110.59752506,Nagpur,Base
27,31412458.349999998,2064150.0,490081468.9475251,61852050.0,308229418.9475251,Nagpur,Base
28,34553704.185,2064150.0,524635173.1325251,63916200.0,340718973.1325251,Nagpur,Base
29,36124327.10249999,2064150.0,560759500.235025,65980350.0,374779150.23502505,Nagpur,Base
30,29841835.432499997,2064150.0,590601335.667525,68044500.0,402556835.66752505,Nagpur,Base
31,28271212.514999997,2064150.0,618872548.182525,70108650.0,428763898.18252504,Nagpur,Base
32,28899461.682,2064150.0,647772009.8645251,72172800.0,455599209.8645251,Nagpur,Base
33,32040707.516999997,2064150.0,679812717.381525,74236950.0,485575767.38152504,Nagpur,Base
34,43349192.522999994,2064150.0,723161909.904525,76301100.0,526860809.90452504,Nagpur,Base
35,39265572.9375,2064150.0,762427482.842025,78365250.0,564062232.842025,Nagpur,Base
36,34553704.185,2064150.0,796981187.027025,80429400.0,596551787.027025,Nagpur,Base
1,14430098.054531252,3424150.0,14430098.054531252,3424150.0,-108994051.94546875,Nagpur,Optimistic
2,13055803.00171875,3424150.0,27485901.056250002,6848300.0,-99362398.94375,Nagpur,Optimistic
3,13742950.528125001,3424150.0,41228851.584375,10272450.0,-89043598.415625,Nagpur,Optimistic
4,15117245.580937503,2744150.0,56346097.165312506,13016600.0,-76670502.8346875,Nagpur,Optimistic
5,15804393.10734375,2744150.0,72150490.27265626,15760750.0,-63610259.72734374,Nagpur,Optimistic
6,13055803.00171875,2744150.0,85206293.274375,18504900.0,-53298606.72562499,Nagpur,Optimistic
7,15666963.602062501,2064150.0,100873256.87643752,20569050.0,-39695793.123562485,Nagpur,Optimistic
8,16015118.348775001,2064150.0,116888375.22521251,22633200.0,-25744824.774787486,Nagpur,Optimistic
9,17755892.082337502,2064150.0,134644267.30755,24697350.0,-10053082.692449987,Nagpur,Optimistic
10,24022677.5231625,2064150.0,158666944.8307125,26761500.0,11905444.830712497,Nagpur,Optimistic
11,21759671.66953125,2064150.0,180426616.50024375,28825650.0,31600966.500243753,Nagpur,Optimistic
12,19148511.069187503,2064150.0,199575127.56943125,30889800.0,48685327.569431245,Nagpur,Optimistic
13,30234491.161875002,2064150.0,229809618.73130625,32953950.0,76855668.73130625,Nagpur,Optimistic
14,27355015.813125,2064150.0,257164634.54443127,35018100.0,102146534.54443127,Nagpur,Optimistic
15,28794753.4875,2064150.0,285959388.0319313,37082250.0,128877138.03193128,Nagpur,Optimistic
16,31674228.836250003,2064150.0,317633616.8681813,39146400.0,158487216.8681813,Nagpur,Optimistic
17,33113966.510624997,2064150.0,350747583.3788063,41210550.0,189537033.3788063,Nagpur,Optimistic
18,27355015.813125,2064150.0,378102599.1919313,43274700.0,214827899.1919313,Nagpur,Optimistic
19,25915278.13875,2064150.0,404017877.3306813,45338850.0,238679027.33068132,Nagpur,Optimistic
20,26491173.2085,2064150.0,430509050.53918135,47403000.0,263106050.53918135,Nagpur,Optimistic
21,29370648.55725,2064150.0,459879699.0964314,49467150.0,290412549.0964314,Nagpur,Optimistic
22,39736759.81275,2064150.0,499616458.90918136,51531300.0,328085158.90918136,Nagpur,Optimistic
23,35993441.859375,2064150.0,535609900.76855636,53595450.0,362014450.76855636,Nagpur,Optimistic
24,31674228.836250003,2064150.0,567284129.6048063,55659600.0,391624529.6048063,Nagpur,Optimistic
25,41228851.584375,2064150.0,608512981.1891813,57723750.0,430789231.1891813,Nagpur,Optimistic
26,37302294.290625,2064150.0,645815275.4798063,59787900.0,466027375.4798063,Nagpur,Optimistic
27,39265572.9375,2064150.0,685080848.4173063,61852050.0,503228798.4173063,Nagpur,Optimistic
28,43192130.23125,2064150.0,728272978.6485564,63916200.0,544356778.6485564,Nagpur,Optimistic
29,45155408.878125,2064150.0,773428387.5266813,65980350.0,587448037.5266813,Nagpur,Optimistic
30,37302294.290625,2064150.0,810730681.8173063,68044500.0,622686181.8173063,Nagpur,Optimistic
31,35339015.643750004,2064150.0,846069697.4610562,70108650.0,655961047.4610562,Nagpur,Optimistic
32,36124327.1025,2064150.0,882194024.5635562,72172800.0,690021224.5635562,Nagpur,Optimistic
33,40050884.39625,2064150.0,922244908.9598062,74236950.0,728007958.9598062,Nagpur,Optimistic
34,54186490.653749995,2064150.0,976431399.6135561,76301100.0,780130299.6135561,Nagpur,Optimistic
35,49081966.171875,2064150.0,1025513365.7854311,78365250.0,827148115.7854311,Nagpur,Optimistic
36,43192130.23125,2064150.0,1068705496.0166812,80429400.0,868276096.0166812,Nagpur,Optimistic
1,1397793.5808375003,3488100.0,1397793.5808375003,3488100.0,-112090306.4191625,Mysuru,Conservative
2,1264670.3826625003,3488100.0,2662463.9635000005,6976200.0,-114313736.0365,Mysuru,Conservative
3,1331231.9817500003,3488100.0,3993695.945250001,10464300.0,-116470604.05475,Mysuru,Conservative
4,1464355.1799250005,2808100.0,5458051.125175001,13272400.0,-117814348.874825,Mysuru,Conservative
5,1530916.7790125,2808100.0,6988967.904187501,16080500.0,-119091532.0958125,Mysuru,Conservative
6,1264670.3826625003,2808100.0,8253638.286850002,18888600.0,-120634961.71315,Mysuru,Conservative
7,1742703.6852000004,2128100.0,9996341.972050002,21016700.0,-121020358.02795,Mysuru,Conservative
8,1781430.4337600004,2128100.0,11777772.405810002,23144800.0,-121367027.59419,Mysuru,Conservative
9,1975064.1765600003,2128100.0,13752836.582370002,25272900.0,-121520063.41763,Mysuru,Conservative
10,2672145.65064,2128100.0,16424982.233010001,27401000.0,-120976017.76699,Mysuru,Conservative
11,2420421.785,2128100.0,18845404.01801,29529100.0,-120683695.98199,Mysuru,Conservative
12,2129971.1708000004,2128100.0,20975375.188810002,31657200.0,-120681824.81119,Mysuru,Conservative
13,4659311.936125001,2128100.0,25634687.124935,33785300.0,-118150612.875065,Mysuru,Conservative
14,4215567.942208333,2128100.0,29850255.067143336,35913400.0,-116063144.93285666,Mysuru,Conservative
15,4437439.939166667,2128100.0,34287695.00631,38041500.0,-113753804.99369,Mysuru,Conservative
16,4881183.933083334,2128100.0,39168878.939393334,40169600.0,-111000721.06060666,Mysuru,Conservative
17,5103055.930041666,2128100.0,44271934.869435,42297700.0,-108025765.130565,Mysuru,Conservative
18,4215567.942208333,2128100.0,48487502.81164333,44425800.0,-105938297.18835667,Mysuru,Conservative
19,3993695.9452500003,2128100.0,52481198.75689333,46553900.0,-104072701.24310666,Mysuru,Conservative
20,4082444.744033334,2128100.0,56563643.500926666,48682000.0,-102118356.49907333,Mysuru,Conservative
21,4526188.73795,2128100.0,61089832.23887666,50810100.0,-99720267.76112333,Mysuru,Conservative
22,6123667.11605,2128100.0,67213499.35492666,52938200.0,-95724700.64507334,Mysuru,Conservative
23,5546799.923958333,2128100.0,72760299.27888499,55066300.0,-92306000.72111501,Mysuru,Conservative
24,4881183.933083334,2128100.0,77641483.21196833,57194400.0,-89552916.78803167,Mysuru,Conservative
25,6777180.998000001,2128100.0,84418664.20996833,59322500.0,-84903835.79003167,Mysuru,Conservative
26,6131735.188666667,2128100.0,90550399.398635,61450600.0,-80900200.601365,Mysuru,Conservative
27,6454458.093333334,2128100.0,97004857.49196833,63578700.0,-76573842.50803167,Mysuru,Conservative
28,7099903.9026666675,2128100.0,104104761.394635,65706800.0,-71602038.605365,Mysuru,Conservative
29,7422626.807333333,2128100.0,111527388.20196834,67834900.0,-66307511.79803166,Mysuru,Conservative
30,6131735.188666667,2128100.0,117659123.39063501,69963000.0,-62303876.60936499,Mysuru,Conservative
31,5809012.284000001,2128100.0,123468135.67463501,72091100.0,-58622964.32536499,Mysuru,Conservative
32,5938101.445866668,2128100.0,129406237.12050168,74219200.0,-54812962.87949832,Mysuru,Conservative
33,6583547.2552000005,2128100.0,135989784.3757017,76347300.0,-50357515.624298304,Mysuru,Conservative
34,8907152.1688,2128100.0,144896936.5445017,78475400.0,-43578463.45549831,Mysuru,Conservative
35,8068072.616666667,2128100.0,152965009.16116837,80603500.0,-37638490.83883163,Mysuru,Conservative
36,7099903.9026666675,2128100.0,160064913.06383502,82731600.0,-32666686.936164975,Mysuru,Conservative
1,2753229.7804375,3488100.0,2753229.7804375,3488100.0,-110734870.2195625,Mysuru,Base
2,2491017.4203958334,3488100.0,5244247.200833334,6976200.0,-111731952.79916666,Mysuru,Base
3,2622123.600416667,3488100.0,7866370.8012500005,10464300.0,-112597929.19875,Mysuru,Base
4,2884335.9604583336,2808100.0,10750706.761708334,13272400.0,-112521693.23829167,Mysuru,Base
5,3015442.1404791665,2808100.0,13766148.9021875,16080500.0,-112314351.0978125,Mysuru,Base
6,2491017.4203958334,2808100.0,16257166.322583333,18888600.0,-112631433.67741667,Mysuru,Base
7,3194956.7562000006,2128100.0,19452123.078783333,21016700.0,-111564576.92121667,Mysuru,Base
8,3265955.795226667,2128100.0,22718078.87401,23144800.0,-110426721.12599,Mysuru,Base
9,3620950.9903600006,2128100.0,26339029.86437,25272900.0,-108933870.13563,Mysuru,Base
10,4898933.692840001,2128100.0,31237963.55721,27401000.0,-106163036.44279,Mysuru,Base
11,4437439.939166667,2128100.0,35675403.49637666,29529100.0,-103853696.50362334,Mysuru,Base
12,3904947.1464666673,2128100.0,39580350.64284333,31657200.0,-102076849.35715666,Mysuru,Base
13,6777180.998000001,2128100.0,46357531.64084333,33785300.0,-97427768.35915667,Mysuru,Base
14,6131735.188666667,2128100.0,52489266.829509996,35913400.0,-93424133.17049,Mysuru,Base
15,6454458.093333334,2128100.0,58943724.92284333,38041500.0,-89097775.07715666,Mysuru,Base
16,7099903.9026666675,2128100.0,66043628.825509995,40169600.0,-84125971.17449,Mysuru,Base
17,7422626.807333333,2128100.0,73466255.63284333,42297700.0,-78831444.36715667,Mysuru,Base
18,6131735.188666667,2128100.0,79597990.82151,44425800.0,-74827809.17849,Mysuru,Base
19,5809012.284000001,2128100.0,85407003.10551,46553900.0,-71146896.89449,Mysuru,Base
20,5938101.445866668,2128100.0,91345104.55137667,48682000.0,-67336895.44862333,Mysuru,Base
21,6583547.2552000005,2128100.0,97928651.80657667,50810100.0,-62881448.19342333,Mysuru,Base
22,8907152.1688,2128100.0,106835803.97537667,52938200.0,-56102396.024623334,Mysuru,Base
23,8068072.616666667,2128100.0,114903876.59204334,55066300.0,-50162423.40795666,Mysuru,Base
24,7099903.9026666675,2128100.0,122003780.49471001,57194400.0,-45190619.50528999,Mysuru,Base
25,10165771.497000001,2128100.0,132169551.99171,59322500.0,-37152948.00828999,Mysuru,Base
26,9197602.783,2128100.0,141367154.77471,61450600.0,-30083445.22529,Mysuru,Base
27,9681687.14,2128100.0,151048841.91471,63578700.0,-22529858.085290015,Mysuru,Base
28,10649855.854000002,2128100.0,161698697.76871,65706800.0,-14008102.231290013,Mysuru,Base
29,11133940.211,2128100.0,172832637.97970998,67834900.0,-5002262.020290017,Mysuru,Base
30,9197602.783,2128100.0,182030240.76270998,69963000.0,2067240.7627099752,Mysuru,Base
31,8713518.426,2128100.0,190743759.18870997,72091100.0,8652659.188709974,Mysuru,Base
32,8907152.1688,2128100.0,199650911.35750997,74219200.0,15431711.35750997,Mysuru,Base
33,9875320.882800002,2128100.0,209526232.24030998,76347300.0,23178932.240309983,Mysuru,Base
34,13360728.2532,2128100.0,222886960.49350998,78475400.0,34411560.49350998,Mysuru,Base
35,12102108.925,2128100.0,234989069.41851,80603500.0,44385569.41850999,Mysuru,Base
36,10649855.854000002,2128100.0,245638925.27251,82731600.0,52907325.27250999,Mysuru,Base
1,4447525.029937501,3488100.0,4447525.029937501,3488100.0,-109040574.9700625,Mysuru,Optimistic
