city,Quarter,Competitor,Est_Market_Share,Distribution_Reach_%,Price_Positioning,Promotional_Activity,Price_Index_vs_Category,Years_in_Market,Source_Year,Data_Quality_Flag
Nagpur,Q4-2023,Procter & Gamble,10.9%,63.2,Premium,High,1.1,9.0,2023,OK
Nagpur,Q4-2023,Dabur,14.8%,74.0,Mass,Low,1.13,14.0,2023,OK
Nagpur,Q4-2023,ITC Ltd.,11.2%,70.2,Mass,Medium,1.07,11.0,2023,OK
Nagpur,Q4-2023,Local Brands,27.6%,,Value,High,1.08,,2023,OK
Nagpur,Q1-2024,HUL,35.1%,88.1,Mass-Premium,High,0.93,20.0,2023,OK
Nagpur,Q1-2024,Procter & Gamble,10.7%,61.6,Premium,Medium,1.14,9.0,2023,OK
Nagpur,Q1-2024,Dabur,15.0%,73.6,Mass,High,0.95,14.0,2023,OK
Nagpur,Q1-2024,ITC Ltd.,11.8%,69.3,Mass,Medium,1.06,11.0,2023,OK
Nagpur,Q2-2024,HUL,35.1%,89.5,Mass-Premium,High,1.09,20.0,2023,OK
Nagpur,Q2-2024,Procter & Gamble,11.5%,63.7,Premium,High,1.13,9.0,2023,OK
Nagpur,Q2-2024,Dabur,14.9%,74.1,Mass,High,1.1,14.0,2023,OK
Nagpur,Q2-2024,ITC Ltd.,11.6%,70.6,Mass,Low,1.11,11.0,2023,OK
Nagpur,Q2-2024,Local Brands,28.3%,,Value,High,1.07,,2023,OK
Mysuru,Q1-2023,Hindustan Unilever,31.7%,76.0,Mass-Premium,Medium,1.18,18.0,2022,STALE – 2022 batch
Mysuru,Q1-2023,Marico Ltd,13.2%,58.7,Premium,Low,0.94,7.0,2022,STALE – 2022 batch
Mysuru,Q1-2023,Dabur India Ltd,11.5%,64.2,Mass,High,1.09,13.0,2022,STALE – 2022 batch
Mysuru,Q1-2023,ITC,9.2%,61.3,Mass,Low,1.11,10.0,2022,STALE – 2022 batch
Mysuru,Q2-2023,Hindustan Unilever,31.3%,77.5,Mass-Premium,Medium,1.02,18.0,2022,STALE – 2022 batch
Mysuru,Q2-2023,Marico Ltd,13.1%,58.3,Premium,Low,1.09,7.0,2022,STALE – 2022 batch
Mysuru,Q2-2023,Dabur India Ltd,10.7%,64.8,Mass,Low,1.15,13.0,2022,STALE – 2022 batch
Mysuru,Q2-2023,ITC,8.8%,59.9,Mass,High,0.92,10.0,2022,STALE – 2022 batch
Mysuru,Q2-2023,Local & Regional,44.7%,,Value,Medium,0.88,,2022,STALE – 2022 batch
Mysuru,Q3-2023,Hindustan Unilever,30.7%,76.1,Mass-Premium,High,0.96,18.0,2022,STALE – 2022 batch
Mysuru,Q3-2023,Marico Ltd,13.7%,58.1,Premium,Low,0.99,7.0,2022,STALE – 2022 batch
Mysuru,Q3-2023,Dabur India Ltd,11.7%,64.6,Mass,Medium,0.93,13.0,2022,STALE – 2022 batch
Mysuru,Q3-2023,ITC,9.5%,60.4,Mass,Medium,0.98,10.0,2022,STALE – 2022 batch
Mysuru,Q3-2023,Local & Regional,44.9%,,Value,High,0.95,,2022,STALE – 2022 batch
Mysuru,Q4-2023,Hindustan Unilever,30.8%,77.9,Mass-Premium,High,1.14,18.0,2022,STALE – 2022 batch
Mysuru,Q4-2023,Marico Ltd,13.9%,58.9,Premium,Low,1.07,7.0,2022,STALE – 2022 batch
Mysuru,Q4-2023,Dabur India Ltd,12.1%,65.2,Mass,High,1.1,13.0,2022,STALE – 2022 batch
Mysuru,Q4-2023,Local & Regional,44.7%,,Value,Low,1.17,,2022,STALE – 2022 batch
Mysuru,Q1-2024,Hindustan Unilever,29.9%,76.6,Mass-Premium,Medium,1.01,18.0,2022,STALE – 2022 batch
Mysuru,Q1-2024,Marico Ltd,14.0%,58.4,Premium,Medium,1.17,7.0,2022,STALE – 2022 batch
Mysuru,Q1-2024,Dabur India Ltd,11.7%,64.8,Mass,Medium,1.12,13.0,2022,STALE – 2022 batch
Mysuru,Q1-2024,ITC,9.5%,62.9,Mass,Low,1.01,10.0,2022,STALE – 2022 batch
Mysuru,Q2-2024,Hindustan Unilever,29.7%,78.5,Mass-Premium,High,1.14,18.0,2022,STALE – 2022 batch
Mysuru,Q2-2024,Marico Ltd,14.2%,59.9,Premium,Medium,1.12,7.0,2022,STALE – 2022 batch
Mysuru,Q2-2024,Dabur India Ltd,11.9%,64.8,Mass,Low,1.12,13.0,2022,STALE – 2022 batch
Mysuru,Q2-2024,ITC,10.4%,62.5,Mass,Medium,1.11,10.0,2022,STALE – 2022 batch
Mysuru,Q2-2024,Local & Regional,45.0%,,Value,High,1.08,,2022,STALE – 2022 batch
